x0	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	L
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	D U D1 D2 L1 L2
																				class
0.0	-0.0120166046544909477	-0.0159493125975131989	-0.0478479340672492981	-0.0598645396530628204	-0.0498142875730991364	-0.0399825200438499451	-0.0458815805613994598	-0.0179156661033630371	-0.0218483731150627136	-0.0598645396530628204	-0.0640157312154769897	-0.0598645396530628204	-0.0358313322067260742	-0.0299322698265314102	-0.0439152270555496216	-0.0399825200438499451	-0.0299322698265314102	-0.0078654140233993530	0.02010050229728221893	L1
0.0	-0.0384453795850276947	-0.0500000007450580597	-0.0537815131247043610	-0.0844537839293479919	-0.0960084050893783569	-0.0863445401191711426	-0.0768907591700553894	-0.0825630277395248413	-0.0556722693145275116	-0.0594537816941738129	-0.0960084050893783569	-0.1000000014901161194	-0.0960084050893783569	-0.0728991627693176270	-0.0672268941998481750	-0.0806722715497016907	-0.0768907591700553894	-0.0672268941998481750	-0.04600840434432029724	L2
0.0	-0.0095713688060641289	-0.0476487725973129272	-0.0590928010642528534	-0.0628381222486495972	-0.0932168141007423401	-0.1046608388423919678	-0.0950894728302955627	-0.0857261791825294495	-0.0913441553711891174	-0.0647107809782028198	-0.0684560984373092651	-0.1046608388423919678	-0.1086142286658287048	-0.1046608388423919678	-0.0817727819085121155	-0.0761548057198524475	-0.0894714966416358948	-0.0857261791825294495	-0.07615480571985244751	L1
0.0	-0.0187831763178110123	-0.0281747654080390930	-0.0655369535088539124	-0.0767660290002822876	-0.0804409980773925781	-0.1102490797638893127	-0.1214781552553176880	-0.1120865643024444580	-0.1028991416096687317	-0.1084115952253341675	-0.0822784826159477234	-0.0859534516930580139	-0.1214781552553176880	-0.1253572851419448853	-0.1214781552553176880	-0.0990200117230415344	-0.0935075506567955017	-0.1065741106867790222	-0.10289914160966873169	L1
0.0	0.0000000000000000000	-0.0187831763178110123	-0.0281747654080390930	-0.0655369535088539124	-0.0767660290002822876	-0.0804409980773925781	-0.1102490797638893127	-0.1214781552553176880	-0.1120865643024444580	-0.1028991416096687317	-0.1084115952253341675	-0.0822784826159477234	-0.0859534516930580139	-0.1214781552553176880	-0.1253572851419448853	-0.1214781552553176880	-0.0990200117230415344	-0.0935075506567955017	-0.10657411068677902222	D1
0.0	-0.0182401277124881744	-0.0182401277124881744	-0.0366806983947753906	-0.0459009818732738495	-0.0825816765427589417	-0.0936059355735778809	-0.0972138717770576477	-0.1264782547950744629	-0.1375025063753128052	-0.1282822191715240479	-0.1192623749375343323	-0.1246742829680442810	-0.0990178361535072327	-0.1026257798075675964	-0.1375025063753128052	-0.1413108855485916138	-0.1375025063753128052	-0.1154539957642555237	-0.11004209518432617188	L1
0.0	-0.0091360472142696381	-0.0272095333784818649	-0.0272095333784818649	-0.0454816296696662903	-0.0546176768839359283	-0.0909632593393325806	-0.1018867939710617065	-0.1054617688059806824	-0.1344587951898574829	-0.1453823298215866089	-0.1362462788820266724	-0.1273088455200195312	-0.1326712965965270996	-0.1072492524981498718	-0.1108242273330688477	-0.1453823298215866089	-0.1491559147834777832	-0.1453823298215866089	-0.12353525310754776001	L1
0.0	0.0092202844098210335	0.0000000000000000000	-0.0182401277124881744	-0.0182401277124881744	-0.0366806983947753906	-0.0459009818732738495	-0.0825816765427589417	-0.0936059355735778809	-0.0972138717770576477	-0.1264782547950744629	-0.1375025063753128052	-0.1282822191715240479	-0.1192623749375343323	-0.1246742829680442810	-0.0990178361535072327	-0.1026257798075675964	-0.1375025063753128052	-0.1413108855485916138	-0.13750250637531280518	D1
